Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amount (EUR),Warehouse,Order Status,Lead Time (Days),Carrier
1,55,Male,Adilette Slides,Clothing,Berlin,L,Gray,Winter,3.1,Yes,Hermes Standard,Yes,Yes,14,Visa,Fortnightly,48.76,Herzogenaurach DC,In Transit,4,Hermes
2,19,Male,Running T-Shirt,Clothing,Leipzig,L,Maroon,Winter,3.1,Yes,Hermes Standard,Yes,Yes,2,Klarna,Fortnightly,58.88,Leipzig DC,Returned,4,Hermes
3,50,Male,Ultraboost Shoes,Clothing,Erlangen,S,Maroon,Spring,3.1,Yes,DPD Classic,Yes,Yes,23,SEPA Direct Debit,Weekly,67.16,Herzogenaurach DC,Delivered,5,DPD
4,21,Male,Football Jersey,Footwear,Leipzig,M,Maroon,Spring,3.5,Yes,DPD Classic,Yes,Yes,49,Apple Pay,Weekly,82.8,Nuremberg DC,Processing,5,DPD
5,45,Male,Football Jersey,Clothing,Stuttgart,M,Turquoise,Spring,2.7,Yes,DHL Express,Yes,Yes,31,Mastercard,Annually,45.08,Herzogenaurach DC,In Transit,4,DHL
6,46,Male,Track Jacket,Footwear,Dusseldorf,M,White,Summer,2.9,Yes,Hermes Standard,Yes,Yes,14,Apple Pay,Weekly,18.4,Nuremberg DC,Delivered,4,Hermes
7,63,Male,Stan Smith Sneakers,Clothing,Cologne,M,Gray,Fall,3.2,Yes,GLS Parcel,Yes,Yes,49,Visa,Quarterly,78.2,Herzogenaurach DC,Processing,7,GLS
8,27,Male,Sports Socks,Clothing,Nuremberg,L,Charcoal,Winter,3.2,Yes,Hermes Standard,Yes,Yes,19,Mastercard,Weekly,31.28,Herzogenaurach DC,Delivered,6,Hermes
9,26,Male,Backpack,Outerwear,Hamburg,L,Silver,Summer,2.6,Yes,DHL Standard,Yes,Yes,8,Mastercard,Annually,89.24,Herzogenaurach DC,Processing,7,DHL
10,57,Male,Adilette Slides,Accessories,Frankfurt,M,Pink,Spring,4.8,Yes,DPD Classic,Yes,Yes,4,Visa,Quarterly,28.52,Herzogenaurach DC,Returned,5,DPD
11,53,Male,Hoodie,Footwear,Hamburg,L,Purple,Fall,4.1,Yes,DPD Classic,Yes,Yes,26,Visa,Bi-Weekly,31.28,Nuremberg DC,Processing,3,DPD
12,30,Male,Hoodie,Clothing,Bremen,S,Olive,Winter,4.9,Yes,Hermes Standard,Yes,Yes,10,Mastercard,Fortnightly,62.56,Herzogenaurach DC,Delivered,6,Hermes
13,61,Male,Football Jersey,Outerwear,Berlin,M,Gold,Winter,4.5,Yes,Store Pickup,Yes,Yes,37,Klarna,Fortnightly,66.24,Hamburg DC,In Transit,4,Store
14,65,Male,Football Jersey,Clothing,Dusseldorf,M,Violet,Spring,4.7,Yes,DHL Standard,Yes,Yes,31,Klarna,Weekly,46.92,Nuremberg DC,In Transit,3,DHL
15,64,Male,Hoodie,Outerwear,Herzogenaurach,L,Teal,Winter,4.7,Yes,DHL Express,Yes,Yes,34,Mastercard,Weekly,48.76,Hamburg DC,In Transit,4,DHL
16,64,Male,Backpack,Clothing,Hanover,M,Teal,Winter,2.8,Yes,DHL Standard,Yes,Yes,8,Visa,Monthly,74.52,Herzogenaurach DC,Delivered,1,DHL
17,25,Male,Tiro Pants,Accessories,Munich,S,Gray,Spring,4.1,Yes,Store Pickup,Yes,Yes,44,Klarna,Bi-Weekly,33.12,Hamburg DC,Returned,3,Store
18,53,Male,Stan Smith Sneakers,Clothing,Nuremberg,XL,Lavender,Winter,4.7,Yes,DHL Standard,Yes,Yes,36,SEPA Direct Debit,Quarterly,34.96,Nuremberg DC,In Transit,7,DHL
19,52,Male,Track Jacket,Clothing,Bremen,S,Black,Summer,4.6,Yes,Hermes Standard,Yes,Yes,17,Klarna,Weekly,44.16,Herzogenaurach DC,Processing,5,Hermes
20,66,Male,Hoodie,Clothing,Stuttgart,M,Green,Summer,3.3,Yes,DPD Classic,Yes,Yes,46,SEPA Direct Debit,Bi-Weekly,82.8,Leipzig DC,Processing,7,DPD
21,21,Male,Adilette Slides,Clothing,Nuremberg,M,Black,Winter,2.8,Yes,GLS Parcel,Yes,Yes,50,PayPal,Every 3 Months,46.92,Hamburg DC,Returned,2,GLS
22,31,Male,Backpack,Clothing,Cologne,M,Charcoal,Winter,4.1,Yes,GLS Parcel,Yes,Yes,22,Mastercard,Quarterly,57.04,Nuremberg DC,Processing,6,GLS
23,56,Male,Gym Bag,Clothing,Leipzig,M,Peach,Summer,3.2,Yes,DHL Express,Yes,Yes,32,Google Pay,Annually,34.04,Nuremberg DC,Returned,2,DHL
24,31,Male,Gym Bag,Clothing,Stuttgart,XL,White,Winter,4.4,Yes,DPD Classic,Yes,Yes,40,Visa,Weekly,80.96,Leipzig DC,In Transit,1,DPD
25,18,Male,Training Shorts,Outerwear,Erlangen,M,Green,Fall,2.9,Yes,DHL Standard,Yes,Yes,16,PayPal,Weekly,20.24,Herzogenaurach DC,Processing,5,DHL
26,18,Male,Sports Socks,Clothing,Hamburg,M,Silver,Summer,3.6,Yes,DHL Express,Yes,Yes,14,Google Pay,Annually,23.0,Herzogenaurach DC,Processing,5,DHL
27,38,Male,Tiro Pants,Accessories,Augsburg,M,Red,Spring,3.6,Yes,DHL Standard,Yes,Yes,13,PayPal,Annually,18.4,Hamburg DC,Processing,2,DHL
28,56,Male,Tiro Pants,Clothing,Cologne,L,Cyan,Summer,5.0,Yes,Store Pickup,Yes,Yes,7,Google Pay,Every 3 Months,51.52,Leipzig DC,In Transit,3,Store
29,54,Male,Track Jacket,Accessories,Munich,M,Gray,Fall,4.4,Yes,DHL Express,Yes,Yes,41,PayPal,Every 3 Months,86.48,Nuremberg DC,In Transit,5,DHL
30,31,Male,Adilette Slides,Clothing,Hamburg,S,Black,Fall,4.1,Yes,Hermes Standard,Yes,Yes,14,Visa,Weekly,44.16,Leipzig DC,Processing,2,Hermes
31,57,Male,Training Shorts,Accessories,Leipzig,L,Black,Winter,4.7,Yes,Hermes Standard,Yes,Yes,16,Apple Pay,Monthly,28.52,Herzogenaurach DC,Delivered,4,Hermes
32,33,Male,Gym Bag,Clothing,Hanover,L,Brown,Winter,4.7,Yes,Hermes Standard,Yes,Yes,45,PayPal,Monthly,72.68,Hamburg DC,Delivered,1,Hermes
33,36,Male,Sports Socks,Outerwear,Hamburg,M,Silver,Summer,4.9,Yes,DHL Standard,Yes,Yes,37,PayPal,Annually,61.64,Leipzig DC,In Transit,3,DHL
34,54,Male,Training Shorts,Clothing,Herzogenaurach,L,Green,Summer,3.3,Yes,DHL Standard,Yes,Yes,45,Apple Pay,Quarterly,34.96,Hamburg DC,Delivered,2,DHL
35,36,Male,Sports Socks,Clothing,Cologne,L,Violet,Spring,4.6,Yes,Hermes Standard,Yes,Yes,38,SEPA Direct Debit,Quarterly,83.72,Leipzig DC,Returned,4,Hermes
36,54,Male,Track Jacket,Clothing,Stuttgart,M,Cyan,Summer,4.0,Yes,DHL Express,Yes,Yes,48,PayPal,Bi-Weekly,30.36,Nuremberg DC,Processing,7,DHL
37,35,Male,Training Shorts,Clothing,Stuttgart,M,Maroon,Winter,4.6,Yes,Hermes Standard,Yes,Yes,44,Klarna,Fortnightly,63.48,Nuremberg DC,Returned,4,Hermes
38,35,Male,Training Shorts,Clothing,Augsburg,S,Cyan,Summer,2.8,Yes,Hermes Standard,Yes,Yes,10,Apple Pay,Weekly,41.4,Hamburg DC,Returned,4,Hermes
39,29,Male,Ultraboost Shoes,Clothing,Cologne,M,Red,Winter,,Yes,Hermes Standard,Yes,Yes,44,PayPal,Every 3 Months,34.04,Leipzig DC,Returned,4,Hermes
40,70,Male,Stan Smith Sneakers,Clothing,Cologne,S,Turquoise,Summer,4.2,Yes,DHL Standard,Yes,Yes,18,Klarna,Monthly,55.2,Herzogenaurach DC,In Transit,3,DHL
41,69,Male,Gym Bag,Accessories,Hamburg,L,Beige,Winter,4.6,Yes,DHL Standard,Yes,Yes,31,Apple Pay,Quarterly,69.92,Hamburg DC,Delivered,1,DHL
42,67,Male,Sports Socks,Accessories,Cologne,M,Orange,Spring,4.5,Yes,Store Pickup,Yes,Yes,40,PayPal,Annually,35.88,Hamburg DC,Returned,4,Store
43,20,Male,Football Jersey,Outerwear,Munich,M,Beige,Spring,4.1,Yes,DPD Classic,Yes,Yes,15,Klarna,Annually,92.0,Hamburg DC,Returned,1,DPD
44,25,Male,Adilette Slides,Accessories,Nuremberg,L,Lavender,Fall,3.7,Yes,DHL Express,Yes,Yes,19,Visa,Fortnightly,63.48,Leipzig DC,Processing,7,DHL
45,39,Male,Adilette Slides,Accessories,Dusseldorf,S,Silver,Summer,4.6,Yes,DHL Standard,Yes,Yes,45,SEPA Direct Debit,Weekly,48.76,Nuremberg DC,In Transit,7,DHL
46,50,Male,Backpack,Clothing,Hanover,XL,Indigo,Fall,2.9,Yes,GLS Parcel,Yes,Yes,25,Visa,Annually,19.32,Leipzig DC,Delivered,5,GLS
47,57,Male,Training Shorts,Clothing,Dresden,L,White,Summer,2.9,Yes,DHL Express,Yes,Yes,45,Apple Pay,Quarterly,39.56,Nuremberg DC,Delivered,2,DHL
48,55,Male,Hoodie,Accessories,Nuremberg,M,Charcoal,Winter,4.5,Yes,Store Pickup,Yes,Yes,36,Google Pay,Weekly,49.68,Nuremberg DC,Processing,7,Store
49,42,Male,Ultraboost Shoes,Clothing,Hamburg,M,Orange,Summer,2.7,Yes,Hermes Standard,Yes,Yes,38,SEPA Direct Debit,Monthly,50.6,Leipzig DC,Returned,6,Hermes
50,68,Male,Ultraboost Shoes,Clothing,Nuremberg,S,Indigo,Spring,4.6,Yes,DHL Express,Yes,Yes,34,SEPA Direct Debit,Bi-Weekly,27.6,Nuremberg DC,In Transit,4,DHL
51,49,Male,Football Jersey,Clothing,Hanover,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,Klarna,Bi-Weekly,25.76,Leipzig DC,Returned,2,Store
52,59,Male,Adilette Slides,Clothing,Hanover,XL,Gray,Winter,4.7,Yes,Hermes Standard,Yes,Yes,7,Mastercard,Quarterly,54.28,Leipzig DC,Delivered,6,Hermes
53,42,Male,Stan Smith Sneakers,Clothing,Herzogenaurach,M,Green,Summer,2.6,Yes,GLS Parcel,Yes,Yes,26,Visa,Weekly,18.4,Leipzig DC,Returned,5,GLS
54,29,Male,Ultraboost Shoes,Clothing,Munich,S,Peach,Winter,3.9,Yes,Store Pickup,Yes,Yes,35,Mastercard,Weekly,22.08,Herzogenaurach DC,Delivered,4,Store
55,47,Male,Track Jacket,Outerwear,Herzogenaurach,M,Brown,Summer,4.2,Yes,GLS Parcel,Yes,Yes,35,Klarna,Bi-Weekly,86.48,Nuremberg DC,In Transit,5,GLS
56,40,Male,Tiro Pants,Outerwear,Nuremberg,M,Lavender,Winter,3.0,Yes,DHL Express,Yes,Yes,49,PayPal,Annually,25.76,Leipzig DC,In Transit,7,DHL
57,41,Male,Hoodie,Accessories,Bremen,XL,Brown,Summer,4.7,Yes,DHL Express,Yes,Yes,46,Apple Pay,Weekly,67.16,Herzogenaurach DC,Returned,6,DHL
58,21,Male,Gym Bag,Outerwear,Munich,M,White,Summer,4.4,Yes,Hermes Standard,Yes,Yes,17,Klarna,Fortnightly,58.88,Herzogenaurach DC,Processing,7,Hermes
59,69,Male,Sports Socks,Clothing,Berlin,M,Charcoal,Summer,4.2,Yes,Store Pickup,Yes,Yes,29,PayPal,Monthly,49.68,Nuremberg DC,Returned,1,Store
60,63,Male,Hoodie,Accessories,Hamburg,L,Yellow,Spring,4.6,Yes,DPD Classic,Yes,Yes,4,Mastercard,Weekly,72.68,Hamburg DC,In Transit,2,DPD
61,50,Male,Backpack,Clothing,Leipzig,L,Brown,Summer,4.0,Yes,Store Pickup,Yes,Yes,17,Apple Pay,Weekly,34.04,Herzogenaurach DC,Returned,6,Store
62,55,Male,Sports Socks,Accessories,Nuremberg,M,Orange,Winter,4.7,Yes,GLS Parcel,Yes,Yes,21,Apple Pay,Every 3 Months,62.56,Nuremberg DC,Delivered,5,GLS
63,30,Male,Track Jacket,Footwear,Erlangen,S,Magenta,Spring,3.8,Yes,GLS Parcel,Yes,Yes,31,Google Pay,Fortnightly,19.32,Herzogenaurach DC,Processing,3,GLS
64,33,Male,Stan Smith Sneakers,Accessories,Nuremberg,L,Lavender,Winter,2.7,Yes,DPD Classic,Yes,Yes,43,SEPA Direct Debit,Weekly,72.68,Nuremberg DC,Processing,3,DPD
